Wavelength,Intensity
6.572882099999999809e+03,1.200000000000000000e+02
6.573476999999999862e+03,3.700000000000000000e+01
6.573982500000000073e+03,1.200000000000000000e+02
6.576800000000000182e+03,0.000000000000000000e+00
6.577656250000000000e+03,6.500000000000000000e+02
6.578922999999999774e+03,3.700000000000000000e+01
6.583310000000000400e+03,1.600000000000000000e+02
6.583585000000000036e+03,9.700000000000000000e+01
6.584275999999999840e+03,1.600000000000000000e+02
6.585998899999999594e+03,1.000000000000000000e+02
6.591789999999999964e+03,0.000000000000000000e+00
6.592554000000000087e+03,1.800000000000000000e+01
6.593607799999999770e+03,5.700000000000000000e+01
6.594890999999999622e+03,2.700000000000000000e+01
6.601129399999999805e+03,1.600000000000000000e+02
6.601537000000000262e+03,1.000000000000000000e+02
6.604105999999999767e+03,1.600000000000000000e+01
6.605416189999999915e+03,8.400000000000000000e+02
6.610305999999999585e+03,2.000000000000000000e+01
6.611194000000000415e+03,6.000000000000000000e+01
6.614114999999999782e+03,1.500000000000000000e+01
6.615345000000000255e+03,6.000000000000000000e+01
6.615481999999999971e+03,2.000000000000000000e+01
6.616845000000000255e+03,1.200000000000000000e+01
6.617057999999999993e+03,5.100000000000000000e+02
6.619615999999999985e+03,6.000000000000000000e+01
6.619945840000000317e+03,1.200000000000000000e+03
6.622127000000000407e+03,2.000000000000000000e+01
6.628167999999999665e+03,2.500000000000000000e+01
6.629020999999999731e+03,7.000000000000000000e+00
6.631805999999999585e+03,2.000000000000000000e+01
6.633457800000000134e+03,1.600000000000000000e+02
6.637032000000000153e+03,2.000000000000000000e+01
6.643373999999999796e+03,2.000000000000000000e+01
6.644649690000000192e+03,6.700000000000000000e+02
6.646540699999999561e+03,6.400000000000000000e+02
6.647693000000000211e+03,4.000000000000000000e+01
6.648495399999999790e+03,4.500000000000000000e+02
6.648958599999999933e+03,5.000000000000000000e+02
6.651000000000000000e+03,2.000000000000000000e+01
6.659496000000000095e+03,2.000000000000000000e+01
6.662632099999999809e+03,1.100000000000000000e+02
6.664956000000000131e+03,8.200000000000000000e+01
6.687123999999999796e+03,3.700000000000000000e+01
6.692127999999999702e+03,9.000000000000000000e+00
6.692726200000000063e+03,3.300000000000000000e+02
6.700487000000000080e+03,4.200000000000000000e+01
6.700518000000000029e+03,2.000000000000000000e+01
6.703896600000000035e+03,1.400000000000000000e+02
6.708078999999999724e+03,1.100000000000000000e+01
6.714497000000000298e+03,1.100000000000000000e+01
6.715188500000000204e+03,1.600000000000000000e+02
6.732242000000000189e+03,6.400000000000000000e+01
6.742500900000000001e+03,7.600000000000000000e+01
6.756537000000000262e+03,4.100000000000000000e+02
6.757310000000000400e+03,0.000000000000000000e+00
6.760892300000000432e+03,1.700000000000000000e+02
6.765718300000000454e+03,2.300000000000000000e+02
6.766341000000000349e+03,1.800000000000000000e+02
6.767943000000000211e+03,1.700000000000000000e+01
6.768163999999999760e+03,2.100000000000000000e+01
6.769126000000000204e+03,3.100000000000000000e+01
6.769386999999999716e+03,3.900000000000000000e+01
6.770106799999999566e+03,3.700000000000000000e+02
6.771323000000000320e+03,6.500000000000000000e+01
6.779987000000000080e+03,3.400000000000000000e+02
6.784158999999999651e+03,2.200000000000000000e+01
6.784628999999999905e+03,2.200000000000000000e+01
6.786363000000000284e+03,2.200000000000000000e+01
6.789686999999999898e+03,2.200000000000000000e+01
6.792470000000000255e+03,2.200000000000000000e+01
6.796782699999999750e+03,1.600000000000000000e+02
6.797833999999999833e+03,6.000000000000000000e+00
6.804738199999999779e+03,1.600000000000000000e+02
6.810549399999999878e+03,3.300000000000000000e+02
6.811500000000000000e+03,1.200000000000000000e+01
6.812775200000000041e+03,2.900000000000000000e+02
6.832185999999999694e+03,1.700000000000000000e+01
6.832892700000000332e+03,1.500000000000000000e+02
6.845131999999999607e+03,2.400000000000000000e+01
6.845867000000000189e+03,4.000000000000000000e+01
6.850538899999999558e+03,4.600000000000000000e+01
6.851210000000000036e+03,2.400000000000000000e+01
6.854512800000000425e+03,1.200000000000000000e+02
6.868638299999999617e+03,1.000000000000000000e+02
6.869274000000000342e+03,4.900000000000000000e+01
6.870152000000000044e+03,3.700000000000000000e+01
6.873054299999999785e+03,1.300000000000000000e+02
6.877873999999999796e+03,2.300000000000000000e+01
6.888720000000000255e+03,2.500000000000000000e+02
6.889303299999999581e+03,7.300000000000000000e+02
6.891087000000000444e+03,2.400000000000000000e+01
6.892639000000000124e+03,1.600000000000000000e+01
