Wavelength,Intensity
6.097287000000000262e+03,2.000000000000000000e+01
6.097591999999999643e+03,4.700000000000000000e+01
6.097818100000000413e+03,7.400000000000000000e+01
6.098318400000000111e+03,4.300000000000000000e+01
6.099457999999999629e+03,2.300000000000000000e+01
6.099988599999999678e+03,1.400000000000000000e+02
6.100413999999999760e+03,3.400000000000000000e+01
6.101551999999999680e+03,2.400000000000000000e+01
6.101725000000000364e+03,2.300000000000000000e+03
6.102594509999999900e+03,4.800000000000000000e+03
6.104020000000000437e+03,3.600000000000000000e+01
6.104166000000000167e+03,1.800000000000000000e+01
6.104558960000000297e+03,1.100000000000000000e+03
6.104953999999999724e+03,1.700000000000000000e+01
6.105304000000000087e+03,4.500000000000000000e+01
6.106843100000000049e+03,1.800000000000000000e+02
6.106921000000000276e+03,3.400000000000000000e+01
6.107533650000000307e+03,1.600000000000000000e+03
6.108279599999999846e+03,2.100000000000000000e+02
6.108485999999999876e+03,1.600000000000000000e+01
6.109213999999999942e+03,7.700000000000000000e+01
6.109708999999999833e+03,2.800000000000000000e+01
6.110331000000000131e+03,5.800000000000000000e+02
6.110475999999999658e+03,2.200000000000000000e+01
6.110667000000000371e+03,1.000000000000000000e+01
6.111699999999999818e+03,2.200000000000000000e+01
6.114538940000000366e+03,8.200000000000000000e+02
6.114926199999999881e+03,1.100000000000000000e+02
6.116165930000000117e+03,7.300000000000000000e+02
6.118050000000000182e+03,3.300000000000000000e+01
6.119649000000000342e+03,2.900000000000000000e+02
6.119699499999999716e+03,6.200000000000000000e+02
6.120352499999999964e+03,7.100000000000000000e+01
6.120794700000000375e+03,1.600000000000000000e+02
6.121407540000000154e+03,1.500000000000000000e+03
6.121756999999999607e+03,2.300000000000000000e+01
6.122708999999999833e+03,3.400000000000000000e+01
6.123832749999999578e+03,6.500000000000000000e+02
6.124068699999999808e+03,2.400000000000000000e+02
6.124480559999999969e+03,1.800000000000000000e+03
6.125609000000000378e+03,1.400000000000000000e+01
6.127420699999999670e+03,8.200000000000000000e+01
6.127601099999999860e+03,1.200000000000000000e+02
6.127899000000000342e+03,3.400000000000000000e+01
6.128159999999999854e+03,1.100000000000000000e+02
6.128338399999999638e+03,2.100000000000000000e+02
6.128444300000000112e+03,1.500000000000000000e+02
6.129318000000000211e+03,3.000000000000000000e+01
6.129490300000000389e+03,1.800000000000000000e+02
6.129545799999999872e+03,3.400000000000000000e+02
6.130456299999999828e+03,3.000000000000000000e+02
6.130756699999999910e+03,5.900000000000000000e+01
6.131666599999999562e+03,6.900000000000000000e+01
6.131751000000000204e+03,1.300000000000000000e+01
6.132417000000000371e+03,2.900000000000000000e+01
6.132863199999999779e+03,2.700000000000000000e+02
6.133056800000000294e+03,3.700000000000000000e+02
6.133270000000000437e+03,1.900000000000000000e+01
6.133671000000000276e+03,2.300000000000000000e+01
6.133814300000000003e+03,1.900000000000000000e+02
6.134551000000000386e+03,4.500000000000000000e+01
6.135014000000000124e+03,2.300000000000000000e+01
6.135627999999999702e+03,5.700000000000000000e+01
6.135996000000000095e+03,5.700000000000000000e+01
6.137024999999999636e+03,5.700000000000000000e+01
6.137926000000000386e+03,4.600000000000000000e+02
6.139363999999999578e+03,2.300000000000000000e+01
6.139650300000000243e+03,3.900000000000000000e+01
6.140448999999999614e+03,1.100000000000000000e+01
6.140597999999999956e+03,2.000000000000000000e+01
6.140699099999999817e+03,3.800000000000000000e+01
6.140768399999999929e+03,1.700000000000000000e+02
6.140884299999999712e+03,7.000000000000000000e+01
6.140993999999999687e+03,1.100000000000000000e+01
6.141634000000000015e+03,1.400000000000000000e+01
6.141927999999999884e+03,1.100000000000000000e+01
6.144413999999999760e+03,1.100000000000000000e+01
6.144758100000000013e+03,2.900000000000000000e+02
6.145000000000000000e+03,2.300000000000000000e+01
6.145127999999999702e+03,2.300000000000000000e+01
6.147954999999999927e+03,5.000000000000000000e+01
6.148354599999999664e+03,5.600000000000000000e+01
6.148472999999999956e+03,1.800000000000000000e+01
6.150030999999999949e+03,1.100000000000000000e+01
6.150119999999999891e+03,2.300000000000000000e+01
6.150323000000000320e+03,4.600000000000000000e+01
6.150682499999999891e+03,5.000000000000000000e+02
6.151141999999999825e+03,1.100000000000000000e+01
6.151513299999999617e+03,8.800000000000000000e+01
6.152949999999999818e+03,2.300000000000000000e+01
6.154068320000000313e+03,2.000000000000000000e+03
6.154415200000000368e+03,6.000000000000000000e+01
6.154516040000000430e+03,8.100000000000000000e+02
6.154627000000000407e+03,4.600000000000000000e+01
6.155298999999999978e+03,9.200000000000000000e+01
6.155580880000000434e+03,2.000000000000000000e+03
6.156104299999999967e+03,6.700000000000000000e+01
6.156614999999999782e+03,3.900000000000000000e+01
6.157087690000000293e+03,1.100000000000000000e+03
6.158390999999999622e+03,3.000000000000000000e+00
6.158828999999999724e+03,1.100000000000000000e+01
6.161353280000000268e+03,1.700000000000000000e+03
6.161649000000000342e+03,1.600000000000000000e+01
6.161765099999999620e+03,1.000000000000000000e+02
6.162261000000000422e+03,2.300000000000000000e+01
6.162456000000000131e+03,4.600000000000000000e+01
6.162851499999999760e+03,4.200000000000000000e+01
6.162969900000000052e+03,2.000000000000000000e+02
6.163207000000000335e+03,2.700000000000000000e+01
6.163726899999999659e+03,2.000000000000000000e+02
6.163904999999999745e+03,2.800000000000000000e+01
6.164479400000000169e+03,5.700000000000000000e+03
6.164841999999999643e+03,9.200000000000000000e+01
6.165537999999999556e+03,4.600000000000000000e+01
6.165833999999999833e+03,1.500000000000000000e+02
6.165971999999999753e+03,7.000000000000000000e+00
6.166536199999999553e+03,5.100000000000000000e+01
6.166708999999999833e+03,4.500000000000000000e+01
6.168481999999999971e+03,2.200000000000000000e+01
6.168837999999999738e+03,1.900000000000000000e+01
6.169394000000000233e+03,1.100000000000000000e+01
6.169821969999999965e+03,1.800000000000000000e+04
6.170655600000000049e+03,1.000000000000000000e+02
6.170737000000000080e+03,1.100000000000000000e+02
6.173003999999999905e+03,2.300000000000000000e+01
6.173881000000000313e+03,4.600000000000000000e+01
6.174796999999999571e+03,4.600000000000000000e+01
6.175958599999999933e+03,1.500000000000000000e+02
6.176161000000000058e+03,2.000000000000000000e+01
6.176493999999999687e+03,3.400000000000000000e+01
6.176814999999999600e+03,1.400000000000000000e+01
6.177081000000000131e+03,1.100000000000000000e+01
6.177488999999999578e+03,1.100000000000000000e+01
6.178431340000000091e+03,2.800000000000000000e+03
6.178931599999999889e+03,1.100000000000000000e+02
6.179163999999999760e+03,6.900000000000000000e+01
6.179548700000000281e+03,3.700000000000000000e+01
6.179774400000000242e+03,5.500000000000000000e+01
6.180284999999999854e+03,1.100000000000000000e+01
6.180704929999999877e+03,2.400000000000000000e+03
6.181537000000000262e+03,1.200000000000000000e+02
6.182621589999999742e+03,3.800000000000000000e+04
6.182829999999999927e+03,5.800000000000000000e+02
